Date,High,Low,Open ,Close,Volume,Adj Close
01/07/2022,20632.67188,19073.70898,19820.4707,19269.36719,30767551159,19269.36719
02/07/2022,19371.74805,19027.08203,19274.83594,19242.25586,18100418740,19242.25586
03/07/2022,19558.26953,18966.95117,19242.0957,19297.07617,16390821947,19297.07617
04/07/2022,20258.74805,19063.06641,19297.31445,20231.26172,21594638208,20231.26172
05/07/2022,20635.4668,19341.23242,20225.35352,20190.11523,26715546990,20190.11523
06/07/2022,20595.5293,19823.51172,20194.61914,20548.24609,24598943708,20548.24609
07/07/2022,21771.81641,20296.10352,20547.81445,21637.58789,25814972520,21637.58789
08/07/2022,22314.94141,21257.45313,21637.1543,21731.11719,49899834488,21731.11719
09/07/2022,21877.13867,21445.95703,21716.82813,21592.20703,29641127858,21592.20703
10/07/2022,21591.08008,20727.12305,21591.08008,20860.44922,28688807249,20860.44922
11/07/2022,20856.35352,19924.53906,20856.35352,19970.55664,24150249025,19970.55664
12/07/2022,20043.44531,19308.53125,19970.47461,19323.91406,25810220018,19323.91406
13/07/2022,20223.05273,18999.95313,19325.97266,20212.07422,33042430345,20212.07422
14/07/2022,20789.89453,19689.25781,20211.4668,20569.91992,31158743333,20569.91992
15/07/2022,21138.24414,20397,20573.15625,20836.32813,25905575359,20836.32813
16/07/2022,21514.4043,20518.89844,20834.10352,21190.31641,24302954056,21190.31641
17/07/2022,21600.64063,20778.17969,21195.04102,20779.34375,22927802083,20779.34375
18/07/2022,22633.0332,20781.91211,20781.91211,22485.68945,39974475562,22485.68945
19/07/2022,23666.96289,21683.40625,22467.84961,23389.43359,48765202697,23389.43359
20/07/2022,24196.81836,23009.94922,23393.19141,23231.73242,42932549127,23231.73242
21/07/2022,23388.32227,22431.14844,23233.20117,23164.62891,33631012204,23164.62891
22/07/2022,23671.92773,22603.41602,23163.75195,22714.97852,31421555646,22714.97852
23/07/2022,22977.21094,22002.91016,22706.98438,22465.47852,24021799169,22465.47852
24/07/2022,22974.00195,22306.83984,22465.50977,22609.16406,23565495303,22609.16406
25/07/2022,22649.12109,21361.64258,22607.15625,21361.70117,35574561406,21361.70117
26/07/2022,21361.12109,20776.81641,21361.12109,21239.75391,28624673855,21239.75391
27/07/2022,22986.5293,21070.80664,21244.16992,22930.54883,31758955233,22930.54883
28/07/2022,24110.4707,22722.26563,22933.64063,23843.88672,40212386158,23843.88672
29/07/2022,24294.78711,23481.17383,23845.21289,23804.63281,35887249746,23804.63281
30/07/2022,24572.58008,23580.50781,23796.81836,23656.20703,28148218301,23656.20703
31/07/2022,24121.64258,23275.70313,23652.07031,23336.89648,23553591896,23336.89648
